,A,B,C,D,E,F,G
Corporation ID,67.97385620915033,49.01960784313726,38.23529411764706,50.65359477124183,93.79084967320262,43.4640522875817,50.65359477124183
Non-GCE Promote %,90.52287581699346,66.01307189542484,44.77124183006536,63.071895424836605,98.03921568627452,33.98692810457516,86.9281045751634
ELL %,72.22222222222223,86.60130718954248,82.02614379084967,42.48366013071895,78.75816993464052,54.248366013071895,93.79084967320262
Special Education %,97.7124183006536,51.63398692810458,22.54901960784314,71.89542483660131,3.9215686274509807,45.09803921568628,19.934640522875817
FRPM_%,86.9281045751634,51.96078431372549,16.99346405228758,59.47712418300654,97.05882352941177,23.529411764705884,92.48366013071896
Pct American Indian,51.30718954248366,44.11764705882353,64.70588235294117,75.16339869281046,26.143790849673202,45.09803921568628,47.712418300653596
Pct Asian,78.10457516339869,74.83660130718954,97.38562091503267,42.48366013071895,16.33986928104575,64.70588235294117,75.81699346405229
Pct Black,88.88888888888889,75.81699346405229,79.41176470588235,46.73202614379085,98.69281045751634,58.82352941176471,92.48366013071896
Pct Hispanic,74.50980392156863,89.54248366013071,73.20261437908496,39.54248366013072,73.20261437908496,50.326797385620914,95.42483660130719
Pct Multiracial,96.73202614379085,53.92156862745098,82.02614379084967,47.38562091503268,16.666666666666668,49.34640522875817,75.49019607843137
Pct Pacific Islander,71.89542483660131,54.248366013071895,84.640522875817,61.76470588235294,44.77124183006536,65.359477124183,55.88235294117647
Pct White,16.666666666666668,22.875816993464053,22.875816993464053,65.68627450980392,1.6339869281045751,53.59477124183007,6.209150326797386
Chronically Absent Percent,93.13725490196079,45.751633986928105,19.607843137254903,65.359477124183,98.69281045751634,25.163398692810457,85.29411764705883
AVG_ATT_RATE,5.882352941176471,80.06535947712419,72.54901960784314,37.254901960784316,1.9607843137254903,71.56862745098039,19.607843137254903
Total Enrollment,80.71895424836602,70.58823529411765,93.13725490196079,43.13725490196079,45.751633986928105,58.49673202614379,88.23529411764706
% Tested ELA,13.071895424836601,49.34640522875817,69.6078431372549,30.065359477124183,40.19607843137255,79.41176470588235,51.30718954248366
% Tested Math,13.398692810457517,48.69281045751634,68.95424836601308,29.73856209150327,44.11764705882353,79.41176470588235,49.34640522875817
Corp Per/Student,44.11764705882353,49.673202614379086,35.294117647058826,66.99346405228758,96.40522875816994,42.15686274509804,80.71895424836602
ELA Proficient %,8.49673202614379,44.11764705882353,89.54248366013071,38.23529411764706,3.2679738562091503,74.50980392156863,13.398692810457517
Math Proficient %,8.823529411764707,51.96078431372549,86.60130718954248,37.58169934640523,2.287581699346405,76.14379084967321,14.705882352941178
