SCHOOL_YEAR,Corporation ID,CORPORATION_NAME,Students Chronically Absent,Total Student Count,Chronically Absent Percent
2024,-999,Independent Non-Public Schools,3536,31153,0.1135043174
2024,15,Adams Central Community Schools,62,1389,0.04463642908
2024,25,North Adams Community Schools,122,1644,0.07420924574
2024,35,South Adams Schools,128,1372,0.09329446064
2024,125,MSD Southwest Allen County Schls,59,7781,0.00758257293
2024,225,Northwest Allen County Schools,615,8601,0.07150331356
2024,235,Fort Wayne Community Schools,6654,30094,0.22110719744
2024,255,East Allen County Schools,2095,10643,0.19684299539
2024,365,Bartholomew Con School Corp,1979,12351,0.16022994089
2024,370,Flat Rock-Hawcreek School Corp,163,978,0.16666666666
2024,395,Benton Community School Corp,245,1682,0.14565992865
2024,515,Blackford County Schools,272,1563,0.17402431222
2024,615,Western Boone Co Com Sch Dist,156,1667,0.09358128374
2024,630,Zionsville Community Schools,457,8071,0.05662247552
2024,665,Lebanon Community School Corp,627,3979,0.15757728072
2024,670,Brown County School Corporation,368,1698,0.21672555948
2024,750,Carroll Consolidated School Corp,113,1099,0.10282074613
2024,755,Delphi Community School Corp,23,1433,0.01605024424
2024,775,Pioneer Regional School Corp,124,946,0.1310782241
2024,815,Lewis Cass Schools ,161,1372,0.11734693877
2024,875,Logansport Community Sch Corp,642,4716,0.13613231552
2024,935,Borden-Henryville School Corporation,266,1837,0.14480130647
2024,945,Silver Creek School Corporation,477,3255,0.1465437788
2024,1000,Clarksville Community School Corp,2475,7217,0.34294027989
2024,1010,Greater Clark County Schools,2916,11320,0.25759717314
2024,1125,Clay Community Schools,624,4307,0.14488042721
2024,1150,Clinton Central School Corporation,183,964,0.18983402489
2024,1160,Clinton Prairie School Corporation,133,1222,0.10883797054
2024,1170,Community Schools of Frankfort,505,3151,0.16026658203
2024,1180,Rossville Con School District,78,990,0.07878787878
2024,1300,Crawford County Community Sch Corp,277,1348,0.20548961424
2024,1315,Barr-Reeve Community Schools Inc,35,1024,0.0341796875
2024,1375,North Daviess Com Schools,139,1147,0.12118570183
2024,1405,Washington Community Schools,729,2824,0.25814447592
