Year,Corporation ID,Corp. Name,Took ACT N,Graduates N,% Graduates Taking ACT,Avg Composite Score,Avg English Score,Avg Math Score,Avg Reading Score,Avg Science Score
2017-18,0015,Adams Central Community Schools,35,81,0.43209876543209874,22.457142857142856,21.428571428571427,21.714285714285715,23.714285714285715,22.714285714285715
2017-18,0025,North Adams Community Schools,52,136,0.38235294117647056,22.53846153846154,22.21153846153846,22.76923076923077,22.942307692307693,21.884615384615383
2017-18,0035,South Adams Schools,12,87,0.13793103448275862,24.25,23.916666666666668,24.666666666666668,24.916666666666668,22.916666666666668
2017-18,0125,M S D Southwest Allen County Schls,248,532,0.46616541353383456,24.669354838709676,24.45967741935484,24.54032258064516,25.133064516129032,24.02016129032258
2017-18,0225,Northwest Allen County Schools,123,543,0.2265193370165746,24.30081300813008,23.211382113821138,24.829268292682926,24.658536585365855,24.089430894308943
2017-18,0235,Fort Wayne Community Schools,174,1723,0.10098665118978525,21.597701149425287,20.729885057471265,21.344827586206897,22.270114942528735,21.56896551724138
2017-18,0255,East Allen County Schools,141,727,0.1939477303988996,22.01418439716312,21.659574468085108,21.425531914893618,23.22695035460993,21.26241134751773
2017-18,0365,Bartholomew Con School Corp,691,777,0.8893178893178894,20.93342981186686,19.761215629522432,21.127351664254704,21.489146164978294,20.80752532561505
2017-18,0370,Flat Rock-Hawcreek School Corp,20,69,0.2898550724637681,23.25,23.7,22.55,23.6,22.5
2017-18,0395,Benton Community School Corp,9,130,0.06923076923076923,21.77777777777778,20.11111111111111,22,22.333333333333332,21.88888888888889
2017-18,0515,Blackford County Schools,13,120,0.10833333333333334,22.76923076923077,23.153846153846153,22.307692307692307,24,20.923076923076923
2017-18,0615,Western Boone Co Com Sch Dist,30,127,0.23622047244094488,20.766666666666666,20.633333333333333,20.3,21.466666666666665,20.2
2017-18,0630,Zionsville Community Schools,271,483,0.5610766045548654,25.8929889298893,25.2619926199262,25.911439114391143,26.29520295202952,25.608856088560884
2017-18,0665,Lebanon Community School Corp,47,213,0.22065727699530516,22.595744680851062,22.25531914893617,22.851063829787233,22.425531914893618,22.425531914893618
2017-18,0670,Brown County School Corporation,11,157,0.07006369426751592,22.09090909090909,21.545454545454547,22.363636363636363,21.818181818181817,22.363636363636363
2017-18,0750,Carroll Consolidated School Corp,9,86,0.10465116279069768,24,23.88888888888889,24.88888888888889,23.333333333333332,23
2017-18,0755,Delphi Community School Corp,4,85,0.047058823529411764,24.5,22.75,22.25,28,24.25
2017-18,0775,Pioneer Regional School Corp,15,74,0.20270270270270271,20.6,19.6,19.733333333333334,21.866666666666667,20.466666666666665
2017-18,0815,Lewis Cass Schools,16,97,0.16494845360824742,22.125,22.3125,22.125,22.5,20.9375
2017-18,0875,Logansport Community Sch Corp,29,260,0.11153846153846154,19,17.137931034482758,19.896551724137932,19.275862068965516,19.20689655172414
2017-18,0940,West Clark Community Schools,105,341,0.30791788856304986,22.4,21.82857142857143,21.723809523809525,23.457142857142856,22.095238095238095
2017-18,1000,Clarksville Community School Corp,41,108,0.37962962962962965,18.902439024390244,17.975609756097562,17.902439024390244,20,19.048780487804876
2017-18,1010,Greater Clark County Schools,565,693,0.8152958152958153,18.886725663716813,17.74513274336283,18.75929203539823,19.56283185840708,18.9929203539823
2017-18,1125,Clay Community Schools,19,235,0.08085106382978724,22.842105263157894,21.789473684210527,22.68421052631579,23.789473684210527,23.157894736842106
2017-18,1150,Clinton Central School Corporation,6,53,0.11320754716981132,25.333333333333332,25.166666666666668,25.5,25,25.5
2017-18,1160,Clinton Prairie School Corporation,11,65,0.16923076923076924,24.545454545454547,23.454545454545453,23.545454545454547,26.454545454545453,24.363636363636363
2017-18,1170,Community Schools of Frankfort,18,202,0.0891089108910891,20.444444444444443,19.61111111111111,20.11111111111111,21.22222222222222,20.055555555555557
2017-18,1180,Rossville Con School District,9,60,0.15,22.666666666666668,22.444444444444443,22.11111111111111,22.77777777777778,23
2017-18,1300,Crawford County Community Sch Corp,41,100,0.41,19.70731707317073,18.609756097560975,19.658536585365855,19.658536585365855,20.024390243902438
2017-18,1315,Barr-Reeve Community Schools Inc,12,43,0.27906976744186046,25.916666666666668,25.416666666666668,26.583333333333332,27.666666666666668,23.916666666666668
2017-18,1375,North Daviess Com Schools,6,73,0.0821917808219178,19,18.5,18.166666666666668,20,18.833333333333332
2017-18,1405,Washington Community Schools,32,154,0.2077922077922078,22.40625,21.28125,22.09375,23.21875,22.78125
2017-18,1560,Sunman-Dearborn Com Sch Corp,122,290,0.4206896551724138,21.975409836065573,21.770491803278688,21.508196721311474,22.672131147540984,21.60655737704918
2017-18,1600,South Dearborn Community Sch Corp,74,171,0.4327485380116959,20.635135135135137,19.256756756756758,20.7027027027027,21.324324324324323,20.81081081081081
2017-18,1620,Lawrenceburg Community School Corp,79,149,0.5302013422818792,21.962025316455698,21.49367088607595,21.68354430379747,22.835443037974684,21.379746835443036
