Corporation ID,CORPORATION_NAME,IDOE_SCHOOL_ID,SCHOOL_NAME,2023-2024 ATTENDANCE RATE
-999,Independent Non-Public Schools,A004,Hagia Sophia Classical Academy,0.9518197573656846
-999,Independent Non-Public Schools,A042,River Montessori High School,0.9348427489807805
-999,Independent Non-Public Schools,A102,Maple Creek Adventist Academy,0.8517766497461929
-999,Independent Non-Public Schools,A115,International Soccer Academy of America,0.8768612852664577
-999,Independent Non-Public Schools,A119,Dana Christian School Corporation,0.9212954245904726
-999,Independent Non-Public Schools,A121,Evansville Adventist Academy,0.9579447322970639
-999,Independent Non-Public Schools,A122,Illiana Christian High School,0.9611441815824135
-999,Independent Non-Public Schools,A126,Edinburgh Christian School,0.946197114208853
-999,Independent Non-Public Schools,A127,The CTM Academy,0.9670623494152906
-999,Independent Non-Public Schools,A138,Hillsboro Christian Academy,0.9611289923248328
-999,Independent Non-Public Schools,A142,Emmanuel Christian School of Fort Wayne,0.9584396345979754
-999,Independent Non-Public Schools,A148,INspire Academy,0.9762790697674418
-999,Independent Non-Public Schools,A149,Apogee School For The Gifted ,0.911759473403309
-999,Independent Non-Public Schools,A152,Stepping Stones Education Academy,0.9145820622330689
-999,Independent Non-Public Schools,A170,Blackhawk Christian Mdl/High Sch,0.9936678803229381
-999,Independent Non-Public Schools,A172,Blackhawk Christian Elementary Sch,0.9949149438165932
-999,Independent Non-Public Schools,A208,Marian University Preparatory School,0.9663250366032211
-999,Independent Non-Public Schools,A236,Cornerstone College Prep Sch,0.9476167626359565
-999,Independent Non-Public Schools,A249,Central Christian School,0.9497842440905793
-999,Independent Non-Public Schools,A260,Aboite Christian School,0.9529768676526356
-999,Independent Non-Public Schools,A275,Crossroad Child & Family Services,1.0
-999,Independent Non-Public Schools,A293,Darul Uloom Al Ansaar,0.9788512376832492
-999,Independent Non-Public Schools,A303,FaithPrep Indiana,0.9199743918053778
-999,Independent Non-Public Schools,A304,GEO Focus Academy,0.9516793066088841
-999,Independent Non-Public Schools,A306,Harriet Tubman School of Excellence,0.9231354642313546
-999,Independent Non-Public Schools,A308,Islamic Academy of Kendallville,0.9532374100719424
-999,Independent Non-Public Schools,A311,Saint Thomas More Academy,0.9473276760458538
-999,Independent Non-Public Schools,A317,Liberty Academy of Columbus,0.9553273769835978
-999,Independent Non-Public Schools,A324,Montessori Science Academy,0.9769917582417582
-999,Independent Non-Public Schools,A423,St Paul Lutheran Preschool,0.9252026529108327
-999,Independent Non-Public Schools,A450,Columbus Christian School Inc,0.9567308956126285
-999,Independent Non-Public Schools,A480,James E Davis School,0.9001540535336029
-999,Independent Non-Public Schools,A724,Good Shepherd Christian Academy,0.9527633443552197
-999,Independent Non-Public Schools,A740,Lakewood Park Christian School,0.9567271822929619
-999,Independent Non-Public Schools,A746,Heritage Hall Christian School,0.9277206851119895
-999,Independent Non-Public Schools,A875,Clinton Christian School,0.9419329600743258
-999,Independent Non-Public Schools,A990,Elkhart Christian Academy,0.9485833549808755
-999,Independent Non-Public Schools,B009,The Crossing Educational Center,0.8018097334311568
-999,Independent Non-Public Schools,B015,Bethany Christian School,0.9644408251900108
-999,Independent Non-Public Schools,B045,Christian Academy of Indiana,0.9524169538572756
-999,Independent Non-Public Schools,B085,Covington Christian School,0.9590120861797162
-999,Independent Non-Public Schools,B118,Kinwell Academy Inc,0.7359842378649472
-999,Independent Non-Public Schools,B129,Life Christian STEAM Academy,0.8970395216567012
-999,Independent Non-Public Schools,B131,Genai Excellence Academy,0.9193341869398207
-999,Independent Non-Public Schools,B136,The King's Academy,0.9397039616891598
-999,Independent Non-Public Schools,B145,Lakeview Christian School Inc,0.9460921069573801
-999,Independent Non-Public Schools,B157,The Montessori School at WPC,0.8882369376920928
-999,Independent Non-Public Schools,B160,Eman Schools,0.9714891984017698
-999,Independent Non-Public Schools,B161,Fishers Christian Academy,0.981714418821337
-999,Independent Non-Public Schools,B167,Paddock View Residential Center,0.9963333333333333
-999,Independent Non-Public Schools,B190,Indiana Academy,0.9992854693037613
-999,Independent Non-Public Schools,B195,Cicero Adventist School,0.9506437768240343
-999,Independent Non-Public Schools,B205,Union Bible College & Academy,0.9369761845490001
-999,Independent Non-Public Schools,B233,Transitions Academy,1.0
-999,Independent Non-Public Schools,B241,University High School of Indiana,0.9598577235772358
-999,Independent Non-Public Schools,B248,Legacy Christian School,0.9536381259476785
-999,Independent Non-Public Schools,B251,Indy West Early Learning Center,0.9438346567024755
-999,Independent Non-Public Schools,B290,Bethesda Christian School,0.9607613250848134
-999,Independent Non-Public Schools,B295,Indy West Christian School,0.9452792618976946
-999,Independent Non-Public Schools,B299,Legacy Learning Center,0.9888864458614004
-999,Independent Non-Public Schools,B302,Guidance Islamic School,0.9193980929678188
-999,Independent Non-Public Schools,B455,Sandy Creek Christian Academy ,0.9653334470407641
-999,Independent Non-Public Schools,B459,Zion Lutheran School,0.9451450189155107
-999,Independent Non-Public Schools,B469,DeMotte Christian High School,0.965338043935955
-999,Independent Non-Public Schools,B470,DeMotte Christian School,0.9612317484088356
-999,Independent Non-Public Schools,B483,Jay County Christian Academy,0.951119297251346
-999,Independent Non-Public Schools,B493,Christian Academy of Madison,0.9453748217021501
-999,Independent Non-Public Schools,B549,Greenwood Christian School,0.9603843208243403
-999,Independent Non-Public Schools,B557,Pierceton Woods Academy,0.9995440333507035
-999,Independent Non-Public Schools,B595,Lakeland Christian Academy,0.9409713747777274
-999,Independent Non-Public Schools,B771,Crown Point Christian School,0.9510905261599849
-999,Independent Non-Public Schools,B773,Northwest Adventist Christian Sch,0.9513368983957219
-999,Independent Non-Public Schools,B806,Ambassador Christian Academy,0.9267911575603883
-999,Independent Non-Public Schools,B815,Calumet Christian School,0.941282814778804
-999,Independent Non-Public Schools,B821,Indiana Horizon Academy,0.9326367591469938
-999,Independent Non-Public Schools,B951,Morning Star Academy,0.9288260869565217
-999,Independent Non-Public Schools,C020,Highland Christian School,0.9665598424866993
-999,Independent Non-Public Schools,C112,Door Prairie Adventist School,0.9424460431654677
-999,Independent Non-Public Schools,C175,Indiana Christian Academy,0.9333963403428631
-999,Independent Non-Public Schools,C215,Cross Street Christian School,0.9510095476600406
-999,Independent Non-Public Schools,C225,Liberty Christian School,0.9255518084613295
-999,Independent Non-Public Schools,C226,Liberty Christian Elementary,0.9476021065605916
-999,Independent Non-Public Schools,C250,Anderson Christian School,0.9482053611994548
-999,Independent Non-Public Schools,C257,Damar Academy,0.9996820096987042
-999,Independent Non-Public Schools,C271,Curtis Wilson Primary School,0.9662784316116836
-999,Independent Non-Public Schools,C275,Heritage Christian School,0.9536272235698883
-999,Independent Non-Public Schools,C281,Cornerstone Baptist Academy,0.9395052426696804
-999,Independent Non-Public Schools,C282,Horizon Christian School,0.9447671061098553
-999,Independent Non-Public Schools,C325,Suburban Christian School,0.959201126873931
-999,Independent Non-Public Schools,C360,Brebeuf Jesuit Preparatory School,0.9741019612107045
-999,Independent Non-Public Schools,C375,Traders Point Christian Schools,0.9487020608845028
-999,Independent Non-Public Schools,C396,Burge Terrace Christian School,0.9371964033486064
-999,Independent Non-Public Schools,C455,Indianapolis Junior Academy,0.954875928560139
-999,Independent Non-Public Schools,C475,Hasten Hebrew Acad of Indianapolis,0.9501898114131766
-999,Independent Non-Public Schools,C495,Colonial Christian School,0.9668210133582065
-999,Independent Non-Public Schools,C513,Islamic Academy of Indianapolis,0.9580740070159557
-999,Independent Non-Public Schools,C514,Crosspointe Christian Academy,0.9548633814817017
-999,Independent Non-Public Schools,C519,Chapel Hill Christian School,0.759090909090909
-999,Independent Non-Public Schools,C527,Covenant Christian High School,0.9348606637311977
-999,Independent Non-Public Schools,C561,Trinity Christian School,0.9143416127934672
-999,Independent Non-Public Schools,C563,Shepherd Community Academy ,0.924489395129615
-999,Independent Non-Public Schools,C575,Central Christian Academy,0.9251492848215526
-999,Independent Non-Public Schools,C580,Calvary Christian School,0.9659934099655406
-999,Independent Non-Public Schools,C589,The Independence Academy,0.9398890810423997
-999,Independent Non-Public Schools,C628,MTI School of Knowledge,0.9359569130296272
-999,Independent Non-Public Schools,C677,International Sch of IN HS (9-12),0.9646562725406426
-999,Independent Non-Public Schools,C678,International Sch of IN (6-8),0.9660341342914889
-999,Independent Non-Public Schools,C679,Indianapolis Southside Christian Academy,0.9758203799654577
-999,Independent Non-Public Schools,C690,Capitol City SDA Church School,0.983615221987315
-999,Independent Non-Public Schools,C699,TP Schools,0.9548158867985207
-999,Independent Non-Public Schools,C791,School for Community Learning,0.906552312820096
-999,Independent Non-Public Schools,C850,Grace Baptist Christian School,0.9680596869361682
