Corporation ID,Corp Name,ELL N,ELL %,Special Education N,Special Education %,Total Enrollment
15,Adams Central Community Schools,32,0.023529411764705882,208,0.15294117647058825,1360
25,North Adams Community Schools,12,0.007599746675110829,284,0.1798606713109563,1579
35,South Adams Schools,131,0.10015290519877676,247,0.18883792048929662,1308
125,MSD Southwest Allen County Schls,156,0.020648577101257445,902,0.11939113170086035,7555
225,Northwest Allen County Schools,302,0.03602528927591554,1322,0.1577001073601336,8383
235,Fort Wayne Community Schools,3974,0.13940924717603312,4882,0.17126219041605276,28506
255,East Allen County Schools,1346,0.1345058459078645,1556,0.15549115619066653,10007
365,Bartholomew Con School Corp,1577,0.1353183456324009,1696,0.14552943195469367,11654
370,Flat Rock-Hawcreek School Corp,12,0.012903225806451613,172,0.18494623655913978,930
395,Benton Community School Corp,94,0.05806053119209389,293,0.18097591105620753,1619
515,Blackford County Schools,22,0.01495581237253569,313,0.21278042148198503,1471
615,Western Boone Co Com Sch Dist,13,0.008181246066708621,247,0.1554436752674638,1589
630,Zionsville Community Schools,211,0.026631326517733183,999,0.12608860280196896,7923
665,Lebanon Community School Corp,259,0.0720846089618703,819,0.22794322293348177,3593
670,Brown County School Corporation,4,0.002509410288582183,311,0.19510664993726473,1594
750,Carroll Consolidated School Corp,22,0.021174205967276226,103,0.09913378248315688,1039
755,Delphi Community School Corp,58,0.04283604135893648,117,0.086410635155096,1354
775,Pioneer Regional School Corp,22,0.024017467248908297,96,0.10480349344978165,916
815,Lewis Cass Schools ,54,0.04176334106728538,202,0.15622583139984533,1293
875,Logansport Community Sch Corp,1567,0.35221398066981346,438,0.09844908968307485,4449
935,Borden-Henryville School Corporation,12,0.0068846815834767644,328,0.18818129661503155,1743
945,Silver Creek School Corporation,193,0.06217783505154639,533,0.1717139175257732,3104
1000,Clarksville Community School Corp,226,0.046849087893864015,908,0.18822553897180763,4824
1010,Greater Clark County Schools,965,0.09193102791273697,1913,0.1822425454891874,10497
1125,Clay Community Schools,17,0.004132231404958678,1008,0.245017015070491,4114
1150,Clinton Central School Corporation,18,0.0196078431372549,128,0.1394335511982571,918
1160,Clinton Prairie School Corporation,14,0.015730337078651686,139,0.15617977528089888,890
1170,Community Schools of Frankfort,876,0.2918054630246502,458,0.1525649566955363,3002
1180,Rossville Con School District,6,0.006322444678609062,146,0.15384615384615385,949
1300,Crawford County Community Sch Corp,5,0.003861003861003861,354,0.27335907335907333,1295
1315,Barr-Reeve Community Schools Inc,0,0.0,136,0.1349206349206349,1008
1375,North Daviess Com Schools,20,0.018709073900841908,169,0.1580916744621141,1069
1405,Washington Community Schools,451,0.17419853225183468,695,0.26844341444573194,2589
1560,Sunman-Dearborn Com Sch Corp,18,0.004784688995215311,652,0.17331206804891017,3762
1600,South Dearborn Community Sch Corp,6,0.003194888178913738,445,0.2369542066027689,1878
1620,Lawrenceburg Community School Corp,24,0.011049723756906077,479,0.22053406998158379,2172
1655,Decatur County Community Schools,6,0.003264417845484222,347,0.18879216539717084,1838
1730,Greensburg Community Schools,55,0.02602934216753431,405,0.19167061050638903,2113
1805,DeKalb Co Eastern Com Sch Dist,6,0.004834810636583401,248,0.1998388396454472,1241
1820,Garrett-Keyser-Butler Com Sch Corp,16,0.009656004828002414,360,0.21726010863005432,1657
1835,DeKalb Co Ctl United Sch Dist,69,0.019284516489659027,569,0.15902738960313023,3578
1875,Delaware Community School Corp,15,0.005870841487279843,436,0.1706457925636008,2555
1885,Wes-Del Community Schools,12,0.013605442176870748,111,0.12585034013605442,882
1895,Liberty-Perry Community Sch Corp,0,0.0,229,0.19861231569817867,1153
1900,Cowan Community School Corp,6,0.007633587786259542,117,0.14885496183206107,786
1910,Yorktown Community Schools,30,0.01084206722081677,328,0.11853993494759668,2767
1940,Daleville Community Schools,6,0.005982053838484547,117,0.11665004985044865,1003
1970,Muncie Community Schools,170,0.03291384317521781,1051,0.20348499515972895,5165
2040,Northeast Dubois Co Sch Corp,1,0.0011792452830188679,186,0.21933962264150944,848
2100,Southeast Dubois Co Sch Corp,21,0.016813450760608487,192,0.15372297838270615,1249
2110,Southwest Dubois Co Sch Corp,423,0.21256281407035177,305,0.15326633165829145,1990
2120,Greater Jasper Consolidated Schs,367,0.11054216867469879,504,0.15180722891566265,3320
2155,Fairfield Community Schools,214,0.09921186833565136,259,0.12007417709782105,2157
2260,Baugo Community Schools,122,0.06846240179573512,3,0.0016835016835016834,1782
2270,Concord Community Schools,1567,0.29633131618759456,667,0.12613464447806355,5288
2275,Middlebury Community Schools,331,0.08020353767870124,502,0.12163799370002423,4127
2285,Wa-Nee Community Schools,170,0.05950297514875744,379,0.13265663283164159,2857
2305,Elkhart Community Schools,2361,0.2159714599341383,1899,0.17371020856201977,10932
2315,Goshen Community Schools,1908,0.30670310239511334,922,0.14820768365214596,6221
2395,Fayette County School Corporation,8,0.0025477707006369425,594,0.189171974522293,3140
2400,New Albany-Floyd Co Con Sch,319,0.02803163444639719,2189,0.1923550087873462,11380
2435,Attica Consolidated School Corp,11,0.021032504780114723,119,0.22753346080305928,523
2440,Covington Community School Corp,18,0.01950162513542795,177,0.19176598049837487,923
2455,Southeast Fountain School Corp,36,0.03491755577109602,168,0.1629485935984481,1031
2475,Franklin County Community Sch Corp,4,0.0020130850528434826,305,0.15349773527931554,1987
2645,Rochester Community School Corp,17,0.014072847682119206,196,0.16225165562913907,1208
2650,Caston School Corporation,9,0.01061320754716981,121,0.14268867924528303,848
2725,East Gibson School Corporation,4,0.005979073243647235,172,0.2571001494768311,669
2735,North Gibson School Corporation,48,0.025039123630672927,433,0.22587376108502868,1917
2765,South Gibson School Corporation,17,0.007936507936507936,432,0.20168067226890757,2142
2815,Eastbrook Community Sch Corp,10,0.006169031462060457,317,0.19555829734731647,1621
2825,Madison-Grant United School Corp,31,0.015593561368209255,368,0.1851106639839034,1988
2855,Mississinewa Community School Corp,16,0.006565449322938038,470,0.19286007386130488,2437
2865,Marion Community Schools,174,0.04738562091503268,546,0.14869281045751634,3672
2920,Bloomfield School District,1,0.0012077294685990338,109,0.1316425120772947,828
2940,Eastern Greene Schools,0,0.0,189,0.1672566371681416,1130
2950,Linton-Stockton School Corporation,18,0.012987012987012988,209,0.15079365079365079,1386
2960,MSD Shakamak Schools,0,0.0,114,0.16939078751857356,673
2980,White River Valley School District,8,0.011065006915629323,121,0.1673582295988935,723
3005,Hamilton Southeastern Schools,1517,0.07122400112681347,2435,0.11432461617916334,21299
3025,Hamilton Heights School Corp,28,0.011986301369863013,364,0.1558219178082192,2336
3030,Westfield-Washington Schools,659,0.06793114111947222,1263,0.1301927636326152,9701
3055,Sheridan Community Schools,23,0.02040816326530612,206,0.18278615794143743,1127
3060,Carmel Clay Schools,1016,0.06304293869446513,2023,0.12552742616033755,16116
3070,Noblesville Schools,692,0.06545592130155127,1474,0.13942489595157018,10572
3115,New Palestine Community Schools,57,0.014592933947772658,593,0.15181771633384536,3906
3125,Greenfield-Central Com Schools,97,0.022350230414746545,713,0.16428571428571428,4340
