Corporation ID,Corp Name,American Indian,Asian,Black,Hispanic,Multiracial,Native Hawaiian or Other Pacific Islander,White,Free/Reduced Price Meals,Paid Meals,TOTAL ENROLLMENT
15,Adams Central Community Schools,1,7,8,63,31,0,1250,369,991,1360
25,North Adams Community Schools,4,8,42,187,80,2,1256,718,861,1579
35,South Adams Schools,2,11,9,152,23,1,1110,596,712,1308
125,MSD Southwest Allen County Schls,17,349,626,544,439,5,5574,1786,5768,7554
225,Northwest Allen County Schools,10,527,300,506,508,5,6527,1993,6390,8383
235,Fort Wayne Community Schools,46,1889,7162,6299,2939,33,10136,17929,10575,28504
255,East Allen County Schools,15,1599,1064,921,558,6,5844,5206,4801,10007
365,Bartholomew Con School Corp,30,833,301,2312,565,7,7606,5452,6202,11654
370,Flat Rock-Hawcreek School Corp,5,3,3,28,35,4,851,467,462,929
395,Benton Community School Corp,2,1,6,192,44,1,1373,939,680,1619
515,Blackford County Schools,3,2,12,66,80,1,1307,815,656,1471
615,Western Boone Co Com Sch Dist,1,4,5,61,37,3,1478,588,1001,1589
630,Zionsville Community Schools,15,613,232,433,442,2,6186,517,7406,7923
665,Lebanon Community School Corp,4,44,299,318,143,2,2783,1701,1892,3593
670,Brown County School Corporation,4,3,12,35,40,1,1499,821,773,1594
750,Carroll Consolidated School Corp,2,2,6,66,35,0,928,520,519,1039
755,Delphi Community School Corp,4,2,19,136,39,0,1154,726,628,1354
775,Pioneer Regional School Corp,2,10,3,57,26,0,818,499,417,916
815,Lewis Cass Schools ,0,17,12,104,61,0,1099,700,593,1293
875,Logansport Community Sch Corp,1,121,224,2132,168,2,1801,2916,1533,4449
935,Borden-Henryville School Corporation,2,10,19,43,62,0,1607,652,1091,1743
945,Silver Creek School Corporation,3,43,59,332,161,4,2502,1068,2036,3104
1000,Clarksville Community School Corp,10,45,646,682,426,3,3011,2819,2004,4823
1010,Greater Clark County Schools,17,100,1486,1712,1289,50,5842,6076,4420,10496
1125,Clay Community Schools,7,7,14,124,132,5,3825,2318,1796,4114
1150,Clinton Central School Corporation,0,6,5,54,24,0,829,460,458,918
1160,Clinton Prairie School Corporation,2,0,2,76,22,0,788,516,374,890
1170,Community Schools of Frankfort,2,12,22,1675,74,5,1211,2989,12,3001
1180,Rossville Con School District,2,6,10,39,24,0,868,287,662,949
1300,Crawford County Community Sch Corp,0,1,3,16,20,0,1255,723,572,1295
1315,Barr-Reeve Community Schools Inc,0,10,5,15,11,1,966,298,710,1008
1375,North Daviess Com Schools,4,3,3,34,20,1,1004,533,536,1069
1405,Washington Community Schools,6,11,177,602,75,0,1718,1397,1192,2589
1560,Sunman-Dearborn Com Sch Corp,0,13,6,72,89,0,3582,774,2988,3762
1600,South Dearborn Community Sch Corp,2,6,18,29,46,1,1776,899,979,1878
1620,Lawrenceburg Community School Corp,2,20,37,72,147,3,1891,882,1290,2172
1655,Decatur County Community Schools,2,3,7,40,36,0,1750,936,902,1838
1730,Greensburg Community Schools,4,10,10,101,75,1,1912,1117,996,2113
1805,DeKalb Co Eastern Com Sch Dist,8,3,13,51,16,0,1150,618,623,1241
1820,Garrett-Keyser-Butler Com Sch Corp,4,6,10,95,61,11,1470,839,818,1657
1835,DeKalb Co Ctl United Sch Dist,1,33,18,187,85,16,3238,1613,1965,3578
1875,Delaware Community School Corp,14,15,43,84,128,1,2270,1318,1237,2555
1885,Wes-Del Community Schools,1,2,0,35,17,0,827,439,443,882
1895,Liberty-Perry Community Sch Corp,4,0,11,25,55,2,1056,0,1153,1153
1900,Cowan Community School Corp,0,0,8,30,41,0,707,414,372,786
1910,Yorktown Community Schools,2,81,103,93,186,3,2299,1018,1749,2767
1940,Daleville Community Schools,0,5,14,25,36,3,920,546,457,1003
1970,Muncie Community Schools,16,99,1119,305,825,10,2791,2945,2220,5165
2040,Northeast Dubois Co Sch Corp,1,0,0,28,17,0,802,219,629,848
2100,Southeast Dubois Co Sch Corp,0,4,3,55,21,1,1165,341,908,1249
2110,Southwest Dubois Co Sch Corp,0,10,14,708,39,0,1218,1016,973,1989
2120,Greater Jasper Consolidated Schs,3,34,22,687,74,0,2500,1187,2133,3320
2155,Fairfield Community Schools,0,10,18,178,43,0,1908,588,1569,2157
2260,Baugo Community Schools,0,15,29,267,125,0,1346,326,1456,1782
2270,Concord Community Schools,4,45,422,2574,253,3,1987,3337,1951,5288
2275,Middlebury Community Schools,7,33,35,494,135,3,3420,1475,2652,4127
2285,Wa-Nee Community Schools,5,18,50,290,116,2,2376,1058,1799,2857
2305,Elkhart Community Schools,15,121,1562,4373,940,5,3916,7056,3876,10932
2315,Goshen Community Schools,10,65,179,3543,216,1,2207,4133,2088,6221
2395,Fayette County School Corporation,3,10,26,62,100,0,2939,1912,1228,3140
2400,New Albany-Floyd Co Con Sch,19,132,1041,785,874,16,8512,4226,7153,11379
2435,Attica Consolidated School Corp,1,2,4,25,15,0,476,298,225,523
2440,Covington Community School Corp,1,5,7,48,29,0,833,403,520,923
2455,Southeast Fountain School Corp,1,0,7,79,19,1,924,528,503,1031
2475,Franklin County Community Sch Corp,1,6,4,23,15,1,1937,888,1099,1987
2645,Rochester Community School Corp,1,9,13,72,51,2,1060,757,451,1208
2650,Caston School Corporation,0,3,2,37,27,0,779,513,335,848
2725,East Gibson School Corporation,0,2,5,9,22,0,631,389,280,669
2735,North Gibson School Corporation,0,29,77,85,185,4,1537,869,1048,1917
2765,South Gibson School Corporation,4,13,12,49,61,6,1997,652,1490,2142
2815,Eastbrook Community Sch Corp,0,3,17,74,56,4,1467,771,850,1621
2825,Madison-Grant United School Corp,11,6,206,127,100,1,1536,743,1244,1987
2855,Mississinewa Community School Corp,4,8,50,171,195,0,2009,1681,756,2437
2865,Marion Community Schools,6,22,750,589,634,0,1671,2626,1046,3672
2920,Bloomfield School District,0,3,3,23,26,3,770,403,425,828
2940,Eastern Greene Schools,3,2,3,21,21,0,1080,552,578,1130
