Corporation ID,Corp Name,ELA Below Proficiency,ELA Approaching Proficiency,ELA At Proficiency,ELA Above Proficiency,ELA Total Proficient,ELA Total Tested,ELA Proficient %
15,Adams Central Community Schools,168,139,180,108,288,595,0.48403361344
25,North Adams Community Schools,186,150,143,68,211,547,0.38574040219
35,South Adams Schools,176,161,142,83,225,562,0.40035587188
125,MSD Southwest Allen County Schls,803,833,1051,793,1844,3480,0.52988505747
225,Northwest Allen County Schools,943,1050,1147,761,1908,3901,0.4891053576
235,Fort Wayne Community Schools,6048,2695,2300,1239,3539,12282,0.28814525321
255,East Allen County Schools,1605,1014,1064,683,1747,4366,0.40013742556
365,Bartholomew Con School Corp,1913,1117,1138,900,2038,5068,0.40213101815
370,Flat Rock-Hawcreek School Corp,148,118,126,46,172,438,0.39269406392
395,Benton Community School Corp,311,181,142,63,205,697,0.29411764705
515,Blackford County Schools,254,151,158,63,221,626,0.35303514376
615,Western Boone Co Com Sch Dist,148,167,223,176,399,714,0.55882352941
630,Zionsville Community Schools,526,724,1135,1216,2351,3601,0.65287420161
665,Lebanon Community School Corp,536,407,457,231,688,1631,0.42182709993
670,Brown County School Corporation,252,156,187,119,306,714,0.42857142857
750,Carroll Consolidated School Corp,143,149,133,45,178,470,0.37872340425
755,Delphi Community School Corp,247,150,142,46,188,585,0.32136752136
775,Pioneer Regional School Corp,186,109,61,50,111,406,0.27339901477
815,Lewis Cass Schools ,235,182,127,68,195,612,0.31862745098
875,Logansport Community Sch Corp,1078,421,311,127,438,1937,0.22612287041
935,Borden-Henryville School Corporation,239,248,205,93,298,785,0.37961783439
945,Silver Creek School Corporation,414,375,391,250,641,1430,0.44825174825
1000,Clarksville Community School Corp,1387,496,293,115,408,2291,0.1780881711
1010,Greater Clark County Schools,1739,1127,1011,703,1714,4580,0.37423580786
1125,Clay Community Schools,447,438,512,377,889,1774,0.50112739571
1150,Clinton Central School Corporation,104,94,113,59,172,370,0.46486486486
1160,Clinton Prairie School Corporation,177,139,141,85,226,542,0.41697416974
1170,Community Schools of Frankfort,566,353,255,129,384,1303,0.29470452801
1180,Rossville Con School District,121,110,132,90,222,453,0.49006622516
1300,Crawford County Community Sch Corp,168,141,146,86,232,541,0.42883548983
1315,Barr-Reeve Community Schools Inc,104,127,178,87,265,496,0.53427419354
1375,North Daviess Com Schools,161,116,131,92,223,500,0.446
1405,Washington Community Schools,560,256,176,85,261,1077,0.24233983286
1560,Sunman-Dearborn Com Sch Corp,400,404,525,297,822,1626,0.50553505535
