Corporation ID,Corp Name,ELA & Math Total Proficient,ELA & Math Total Tested,ELA & Math Proficient %
15,Adams Central Community Schools,250,595,0.42016806722
25,North Adams Community Schools,136,545,0.2495412844
35,South Adams Schools,196,562,0.34875444839
125,MSD Southwest Allen County Schls,1469,3479,0.42224777234
225,Northwest Allen County Schools,1371,3898,0.35171883016
235,Fort Wayne Community Schools,2320,12241,0.18952699942
255,East Allen County Schools,1203,4361,0.27585416188
365,Bartholomew Con School Corp,1548,5061,0.30586840545
370,Flat Rock-Hawcreek School Corp,134,438,0.30593607305
395,Benton Community School Corp,154,696,0.22126436781
515,Blackford County Schools,180,625,0.288
615,Western Boone Co Com Sch Dist,337,714,0.47198879551
630,Zionsville Community Schools,2017,3600,0.56027777777
665,Lebanon Community School Corp,510,1629,0.31307550644
670,Brown County School Corporation,216,714,0.3025210084
750,Carroll Consolidated School Corp,132,470,0.28085106382
755,Delphi Community School Corp,118,583,0.20240137221
775,Pioneer Regional School Corp,82,406,0.20197044334
815,Lewis Cass Schools ,125,612,0.20424836601
875,Logansport Community Sch Corp,247,1934,0.12771458117
935,Borden-Henryville School Corporation,200,783,0.25542784163
945,Silver Creek School Corporation,472,1429,0.33030090972
1000,Clarksville Community School Corp,158,2282,0.06923751095
1010,Greater Clark County Schools,1174,4575,0.25661202185
1125,Clay Community Schools,679,1771,0.38339920948
1150,Clinton Central School Corporation,123,369,0.33333333333
1160,Clinton Prairie School Corporation,175,542,0.32287822878
1170,Community Schools of Frankfort,270,1299,0.20785219399
1180,Rossville Con School District,158,453,0.34878587196
1300,Crawford County Community Sch Corp,186,540,0.34444444444
1315,Barr-Reeve Community Schools Inc,232,496,0.46774193548
1375,North Daviess Com Schools,136,499,0.27254509018
1405,Washington Community Schools,170,1077,0.15784586815
1560,Sunman-Dearborn Com Sch Corp,634,1625,0.39015384615
1600,South Dearborn Community Sch Corp,217,817,0.26560587515
1620,Lawrenceburg Community School Corp,235,853,0.2754982415
1655,Decatur County Community Schools,293,790,0.37088607594
1730,Greensburg Community Schools,268,871,0.30769230769
1805,DeKalb Co Eastern Com Sch Dist,123,560,0.21964285714
1820,Garrett-Keyser-Butler Com Sch Corp,123,724,0.16988950276
1835,DeKalb Co Ctl United Sch Dist,468,1530,0.30588235294
1875,Delaware Community School Corp,446,1164,0.38316151202
1885,Wes-Del Community Schools,99,389,0.25449871465
1895,Liberty-Perry Community Sch Corp,264,547,0.48263254113
1900,Cowan Community School Corp,105,374,0.2807486631
1910,Yorktown Community Schools,498,1344,0.37053571428
1940,Daleville Community Schools,109,470,0.23191489361
1970,Muncie Community Schools,330,2186,0.15096065873
2040,Northeast Dubois Co Sch Corp,141,342,0.41228070175
2100,Southeast Dubois Co Sch Corp,274,544,0.50367647058
2110,Southwest Dubois Co Sch Corp,292,863,0.33835457705
2120,Greater Jasper Consolidated Schs,623,1443,0.43173943173
2155,Fairfield Community Schools,422,1064,0.39661654135
