Corporation ID,Corp Name,Math Below Proficiency,Math Approaching Proficiency,Math At Proficiency,Math Above Proficiency,Math Total Proficient,Math Total Tested,Math Proficient %
15,Adams Central Community Schools,107,124,191,173,364,595,0.61176470588
25,North Adams Community Schools,205,155,133,52,185,545,0.33944954128
35,South Adams Schools,126,143,161,132,293,562,0.52135231316
125,MSD Southwest Allen County Schls,819,820,969,871,1840,3479,0.52888761138
225,Northwest Allen County Schools,931,1159,1148,660,1808,3898,0.46382760389
235,Fort Wayne Community Schools,6626,2522,1907,1201,3108,12256,0.25359007832
255,East Allen County Schools,1831,995,889,647,1536,4362,0.35213204951
365,Bartholomew Con School Corp,1970,1044,1028,1019,2047,5061,0.40446552064
370,Flat Rock-Hawcreek School Corp,133,110,115,81,196,439,0.44646924829
395,Benton Community School Corp,278,164,166,89,255,697,0.36585365853
515,Blackford County Schools,196,154,166,109,275,625,0.44
615,Western Boone Co Com Sch Dist,124,170,216,204,420,714,0.58823529411
630,Zionsville Community Schools,428,715,1040,1418,2458,3601,0.68258816995
665,Lebanon Community School Corp,549,409,394,277,671,1629,0.41190914671
670,Brown County School Corporation,247,187,180,101,281,715,0.393006993
750,Carroll Consolidated School Corp,127,130,138,75,213,470,0.45319148936
755,Delphi Community School Corp,236,173,118,56,174,583,0.29845626072
775,Pioneer Regional School Corp,162,110,88,46,134,406,0.33004926108
815,Lewis Cass Schools ,244,172,133,63,196,612,0.3202614379
875,Logansport Community Sch Corp,1086,473,274,102,376,1935,0.19431524547
935,Borden-Henryville School Corporation,276,202,202,103,305,783,0.38952745849
945,Silver Creek School Corporation,412,394,385,239,624,1430,0.43636363636
1000,Clarksville Community School Corp,1710,338,176,62,238,2286,0.104111986
1010,Greater Clark County Schools,1913,1126,960,579,1539,4578,0.33617300131
1125,Clay Community Schools,481,386,486,424,910,1777,0.51209904333
1150,Clinton Central School Corporation,118,85,95,71,166,369,0.44986449864
1160,Clinton Prairie School Corporation,139,147,161,95,256,542,0.47232472324
1170,Community Schools of Frankfort,555,307,282,155,437,1299,0.33641262509
1180,Rossville Con School District,131,111,126,86,212,454,0.46696035242
1300,Crawford County Community Sch Corp,139,138,144,119,263,540,0.48703703703
1315,Barr-Reeve Community Schools Inc,59,95,175,167,342,496,0.68951612903
1375,North Daviess Com Schools,206,131,97,65,162,499,0.32464929859
1405,Washington Community Schools,554,254,170,99,269,1077,0.24976787372
1560,Sunman-Dearborn Com Sch Corp,368,422,500,338,838,1628,0.51474201474
1600,South Dearborn Community Sch Corp,276,230,187,124,311,817,0.38066095471
1620,Lawrenceburg Community School Corp,269,246,209,129,338,853,0.39624853458
1655,Decatur County Community Schools,202,201,213,175,388,791,0.49051833122
1730,Greensburg Community Schools,276,220,206,169,375,871,0.43053960964
1805,DeKalb Co Eastern Com Sch Dist,213,148,149,50,199,560,0.35535714285
1820,Garrett-Keyser-Butler Com Sch Corp,303,203,154,64,218,724,0.30110497237
1835,DeKalb Co Ctl United Sch Dist,518,385,377,250,627,1530,0.40980392156
1875,Delaware Community School Corp,313,262,329,260,589,1164,0.5060137457
1885,Wes-Del Community Schools,130,94,106,59,165,389,0.42416452442
1895,Liberty-Perry Community Sch Corp,100,107,190,150,340,547,0.62157221206
1900,Cowan Community School Corp,107,103,111,53,164,374,0.43850267379
1910,Yorktown Community Schools,367,314,340,323,663,1344,0.49330357142
1940,Daleville Community Schools,167,110,119,74,193,470,0.41063829787
1970,Muncie Community Schools,1329,387,274,208,482,2198,0.21929026387
2040,Northeast Dubois Co Sch Corp,61,71,106,105,211,343,0.61516034985
2100,Southeast Dubois Co Sch Corp,76,114,175,180,355,545,0.65137614678
2110,Southwest Dubois Co Sch Corp,224,216,221,202,423,863,0.49015063731
2120,Greater Jasper Consolidated Schs,322,303,392,426,818,1443,0.56687456687
2155,Fairfield Community Schools,230,255,275,305,580,1065,0.54460093896
2260,Baugo Community Schools,137,152,232,332,564,853,0.6611957796
2270,Concord Community Schools,1065,542,473,286,759,2366,0.32079459002
