Corporation ID,Corporation Name,American Indian IREAD Pass N,American Indian IREAD Test N,American Indian IREAD Pass %,Asian IREAD Pass N,Asian IREAD Test N,Asian IREAD Pass %,Black IREAD Pass N,Black IREAD Test N,Black IREAD Pass %,Hispanic IREAD Pass N,Hispanic IREAD Test N,Hispanic IREAD Pass %,Multiracial IREAD Pass N,Multiracial IREAD Test N,Multiracial IREAD Pass %,Native Hawaiian or Other Pacific Islander IREAD Pass N,Native Hawaiian or Other Pacific Islander IREAD Test N,Native Hawaiian or Other Pacific Islander IREAD Pass %,White IREAD Pass N,White IREAD Test N,White IREAD Pass %,Paid meals IREAD Pass N,Paid meals IREAD Test N,Paid meals IREAD Pass %,Free/Reduced price meals IREAD Pass N,Free/Reduced price meals IREAD Test N,Free/Reduced price meals IREAD Pass %,Non-English Language Learner IREAD Pass N,Non-English Language Learner IREAD Test N,Non-English Language Learner IREAD Pass %,English Language Learner IREAD Pass N,English Language Learner IREAD Test N,English Language Learner IREAD Pass %,General Education IREAD Pass N,General Education IREAD Test N,General Education IREAD Pass %,Special Education IREAD Pass N,Special Education IREAD Test N,Special Education IREAD Pass %
0015,Adams Central Community Schools,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,69.0,78.0,0.88461538461,49.0,58.0,0.8448275862,26.0,30.0,0.86666666666,75,85,0.88235294117,0.0,3.0,0.0,67.0,74.0,0.9054054054,8.0,14.0,0.57142857142
0025,North Adams Community Schools,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,10.0,11.0,0.90909090909,6.0,10.0,0.6,0.0,0.0,0.0,59.0,74.0,0.79729729729,37.0,44.0,0.8409090909,40.0,54.0,0.74074074074,75,96,0.78125,0.0,2.0,0.0,63.0,72.0,0.875,14.0,26.0,0.53846153846
0035,South Adams Schools,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,72.0,79.0,0.91139240506,43.0,47.0,0.91489361702,38.0,46.0,0.82608695652,73,80,0.9125,8.0,13.0,0.61538461538,57.0,62.0,0.9193548387,24.0,31.0,0.77419354838
0125,MSD Southwest Allen County Schls,0.0,2.0,0.0,22.0,27.0,0.81481481481,31.0,41.0,0.75609756097,36.0,46.0,0.78260869565,33.0,39.0,0.84615384615,0.0,0.0,0.0,360.0,381.0,0.94488188976,368.0,389.0,0.94601542416,116.0,147.0,0.78911564625,474,520,0.91153846153,10.0,16.0,0.625,434.0,459.0,0.94553376906,50.0,77.0,0.64935064935
0225,Northwest Allen County Schools,0.0,3.0,0.0,39.0,41.0,0.95121951219,22.0,25.0,0.88,26.0,33.0,0.78787878787,26.0,27.0,0.96296296296,0.0,1.0,0.0,410.0,456.0,0.89912280701,414.0,444.0,0.93243243243,113.0,142.0,0.79577464788,504,554,0.90974729241,23.0,32.0,0.71875,453.0,471.0,0.96178343949,74.0,115.0,0.64347826086
0235,Fort Wayne Community Schools,0.0,3.0,0.0,107.0,137.0,0.78102189781,330.0,480.0,0.6875,340.0,504.0,0.6746031746,203.0,259.0,0.78378378378,0.0,1.0,0.0,676.0,787.0,0.85895806861,640.0,780.0,0.82051282051,1019.0,1391.0,0.73256649892,1407,1775,0.79267605633,252.0,396.0,0.63636363636,1450.0,1743.0,0.83189902467,209.0,428.0,0.488317757
0255,East Allen County Schools,0.0,0.0,0.0,56.0,92.0,0.60869565217,46.0,77.0,0.5974025974,55.0,70.0,0.78571428571,40.0,48.0,0.83333333333,0.0,0.0,0.0,362.0,405.0,0.89382716049,297.0,334.0,0.88922155688,262.0,358.0,0.73184357541,491,582,0.84364261168,68.0,110.0,0.61818181818,488.0,560.0,0.87142857142,71.0,132.0,0.53787878787
0365,Bartholomew Con School Corp,0.0,1.0,0.0,83.0,91.0,0.91208791208,16.0,19.0,0.84210526315,120.0,176.0,0.68181818181,33.0,36.0,0.91666666666,0.0,0.0,0.0,470.0,528.0,0.89015151515,392.0,437.0,0.89702517162,331.0,414.0,0.79951690821,621,702,0.88461538461,102.0,149.0,0.68456375838,633.0,705.0,0.89787234042,90.0,146.0,0.61643835616
0370,Flat Rock-Hawcreek School Corp,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,44.0,48.0,0.91666666666,22.0,24.0,0.91666666666,29.0,32.0,0.90625,50,55,0.90909090909,0.0,1.0,0.0,44.0,44.0,1.0,7.0,12.0,0.58333333333
0395,Benton Community School Corp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,76.0,91.0,0.83516483516,37.0,43.0,0.86046511627,46.0,59.0,0.77966101694,81,96,0.84375,0.0,6.0,0.0,70.0,81.0,0.86419753086,13.0,21.0,0.61904761904
0515,Blackford County Schools,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,71.0,94.0,0.75531914893,40.0,47.0,0.85106382978,45.0,63.0,0.71428571428,84,108,0.77777777777,0.0,2.0,0.0,67.0,78.0,0.85897435897,18.0,32.0,0.5625
0615,Western Boone Co Com Sch Dist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,113.0,0.88495575221,64.0,71.0,0.9014084507,40.0,50.0,0.8,104,120,0.86666666666,0.0,1.0,0.0,95.0,97.0,0.97938144329,9.0,24.0,0.375
0630,Zionsville Community Schools,0.0,2.0,0.0,49.0,51.0,0.96078431372,15.0,17.0,0.88235294117,31.0,36.0,0.86111111111,28.0,30.0,0.93333333333,0.0,0.0,0.0,442.0,463.0,0.9546436285,534.0,559.0,0.95527728085,33.0,40.0,0.825,548,574,0.95470383275,19.0,25.0,0.76,497.0,509.0,0.97642436149,70.0,90.0,0.77777777777
0665,Lebanon Community School Corp,0.0,1.0,0.0,0.0,4.0,0.0,16.0,26.0,0.61538461538,26.0,35.0,0.74285714285,9.0,12.0,0.75,0.0,0.0,0.0,164.0,192.0,0.85416666666,118.0,136.0,0.86764705882,101.0,134.0,0.75373134328,206,245,0.84081632653,13.0,25.0,0.52,176.0,196.0,0.89795918367,43.0,74.0,0.58108108108
0670,Brown County School Corporation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,89.0,99.0,0.89898989898,51.0,55.0,0.92727272727,47.0,54.0,0.87037037037,98,108,0.9074074074,0.0,1.0,0.0,85.0,90.0,0.94444444444,13.0,19.0,0.68421052631
0750,Carroll Consolidated School Corp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,54.0,65.0,0.83076923076,29.0,33.0,0.87878787878,30.0,39.0,0.76923076923,59,72,0.81944444444,0.0,0.0,0.0,56.0,62.0,0.90322580645,3.0,10.0,0.3
