Corporation ID,Corporation Name,SchoolId,School Name,"E/La Academic Achievement, K-8","Math Academic Achievement, K-8","E/La Academic Progress, K-8","Math Academic Progress, K-8","E/La Closing Gaps, K-8","Math Closing Gaps, K-8","English Learner Progress, K-8","Addressing Chronic Absenteeism, K-8","E/La Academic Achievement, 9-12","Math Academic Achievement, 9-12","Graduation Rate, 9-12","Strength of Diploma, 9-12","English Learner Progress, 9-12","Addressing Chronic Absenteeism, 9-12",Overall School Rating
0015,Adams Central Community Schools,13,Adams Central Middle School,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,,,,,,,2
0015,Adams Central Community Schools,20,Adams Central Elementary School,1.0,2.0,1.0,1.0,0.0,0.0,,2.0,,,,,,,1
0015,Adams Central Community Schools,21,Adams Central High School,,,,,,,,,1.0,2.0,3.0,3.0,,1.0,2
0025,North Adams Community Schools,29,Bellmont Senior High School,,,,,,,,,1.0,1.0,2.0,1.0,,0.0,2
0025,North Adams Community Schools,33,Bellmont Middle School,1.0,1.0,1.0,2.0,0.0,0.0,,3.0,,,,,,,1
0025,North Adams Community Schools,37,Bellmont Elementary,1.0,1.0,1.0,1.0,2.0,0.0,,3.0,,,,,,,1
0035,South Adams Schools,17,South Adams Middle School,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,,,,,,,1
0035,South Adams Schools,23,South Adams High School,,,,,,,,,1.0,1.0,2.0,1.0,,1.0,2
0035,South Adams Schools,25,South Adams Elementary School,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,,,,,,,2
0125,MSD Southwest Allen County Schls,45,Aboite Elementary School,3.0,3.0,2.0,2.0,2.0,2.0,,1.0,,,,,,,2
0125,MSD Southwest Allen County Schls,46,Whispering Meadow Elementary Sch,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,,,,,,,1
0125,MSD Southwest Allen County Schls,47,Homestead High School,,,,,,,,,2.0,2.0,3.0,2.0,0.0,2.0,2
0125,MSD Southwest Allen County Schls,63,Summit Middle School,1.0,1.0,1.0,2.0,0.0,0.0,,0.0,,,,,,,1
0125,MSD Southwest Allen County Schls,64,Lafayette Meadow School,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,2
0125,MSD Southwest Allen County Schls,67,Woodside Middle School,1.0,1.0,1.0,2.0,0.0,0.0,,2.0,,,,,,,1
0125,MSD Southwest Allen County Schls,68,Haverhill Elementary School,2.0,2.0,1.0,2.0,1.0,2.0,,0.0,,,,,,,2
0125,MSD Southwest Allen County Schls,71,Deer Ridge Elementary,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,,,,,,,2
0125,MSD Southwest Allen County Schls,72,Covington Elementary School,1.0,2.0,2.0,2.0,2.0,0.0,,1.0,,,,,,,1
0125,MSD Southwest Allen County Schls,188,eSACS Virtual School,,,,,,,,,,,,,,3.0,3
0225,Northwest Allen County Schools,69,Arcola School,2.0,2.0,2.0,1.0,2.0,2.0,,0.0,,,,,,,2
0225,Northwest Allen County Schools,79,Maple Creek Middle School,2.0,1.0,2.0,2.0,1.0,0.0,,1.0,,,,,,,2
0225,Northwest Allen County Schools,87,Hickory Center Elementary School,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,,,,,,,1
0225,Northwest Allen County Schools,89,Huntertown Elementary School,1.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,,,,,,,1
0225,Northwest Allen County Schools,90,Carroll Middle School,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,1
0225,Northwest Allen County Schools,91,Carroll High School,,,,,,,,,2.0,2.0,3.0,2.0,0.0,1.0,2
0225,Northwest Allen County Schools,92,Perry Hill Elementary School,1.0,2.0,1.0,2.0,1.0,2.0,,0.0,,,,,,,2
0225,Northwest Allen County Schools,94,Oak View Elementary School,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,,,,,,,2
0225,Northwest Allen County Schools,95,Cedar Canyon Elementary School,2.0,2.0,1.0,2.0,2.0,2.0,,0.0,,,,,,,2
0225,Northwest Allen County Schools,96,Eel River Elementary School,1.0,2.0,1.0,2.0,2.0,2.0,,0.0,,,,,,,2
0225,Northwest Allen County Schools,98,Aspen Meadow Elementary School,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,1
0235,Fort Wayne Community Schools,101,North Side High School,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,1
0235,Fort Wayne Community Schools,102,R Nelson Snider High School,,,,,,,,,1.0,1.0,3.0,3.0,0.0,1.0,1
0235,Fort Wayne Community Schools,105,South Side High School,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,1
0235,Fort Wayne Community Schools,107,Blackhawk Middle School,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,,,,,,,1
0235,Fort Wayne Community Schools,118,Jeff H Towles Intermediate School,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,0
