Corporation ID,Corp Name,Math Below Benchmark,Math Approaching Benchmark,Math At Benchmark,Math Total Tested,Math Benchmark %
15,Adams Central Community Schools,43,19,36,98,0.36734693877
25,North Adams Community Schools,56,39,53,148,0.3581081081
35,South Adams Schools,35,30,23,88,0.26136363636
125,MSD Southwest Allen County Schls,170,192,269,631,0.42630744849
225,Northwest Allen County Schools,182,192,270,644,0.41925465838
235,Fort Wayne Community Schools,1379,319,252,1950,0.12923076923
255,East Allen County Schools,446,196,186,828,0.22463768115
365,Bartholomew Con School Corp,456,162,272,890,0.30561797752
370,Flat Rock-Hawcreek School Corp,40,22,12,74,0.16216216216
395,Benton Community School Corp,54,31,27,112,0.24107142857
515,Blackford County Schools,66,32,15,113,0.13274336283
615,Western Boone Co Com Sch Dist,53,33,27,113,0.23893805309
630,Zionsville Community Schools,86,153,334,573,0.58289703315
665,Lebanon Community School Corp,119,56,77,252,0.30555555555
670,Brown County School Corporation,55,32,18,105,0.17142857142
750,Carroll Consolidated School Corp,34,21,27,82,0.32926829268
755,Delphi Community School Corp,41,23,21,85,0.24705882352
775,Pioneer Regional School Corp,35,18,23,76,0.30263157894
815,Lewis Cass Schools ,49,29,11,89,0.12359550561
875,Logansport Community Sch Corp,229,38,36,303,0.11881188118
935,Borden-Henryville School Corporation,47,39,24,110,0.21818181818
945,Silver Creek School Corporation,137,55,30,222,0.13513513513
1000,Clarksville Community School Corp,645,84,14,743,0.01884253028
1010,Greater Clark County Schools,509,154,94,757,0.12417437252
1125,Clay Community Schools,108,75,48,231,0.20779220779
1150,Clinton Central School Corporation,25,24,12,61,0.19672131147
1160,Clinton Prairie School Corporation,43,15,21,79,0.26582278481
1170,Community Schools of Frankfort,160,41,25,226,0.11061946902
1180,Rossville Con School District,27,12,22,61,0.3606557377
1300,Crawford County Community Sch Corp,58,22,7,87,0.08045977011
1315,Barr-Reeve Community Schools Inc,12,16,37,65,0.56923076923
1375,North Daviess Com Schools,29,21,18,68,0.26470588235
1405,Washington Community Schools,129,28,32,189,0.16931216931
1560,Sunman-Dearborn Com Sch Corp,125,60,102,287,0.35540069686
