Corporation ID,School Corp,Year,Receieved a GCE,Did not Receive a GCE,"Non-GCE, Retained in 3rd Grade","Non-GCE, Promoted to 4th Grade",Total Students Promoted to 4th Grade,Promotion Percentage,Number of Test Takers
9545,21st Century Charter Sch of Gary,2012,0,2,2,0,0,0,24.0
9545,21st Century Charter Sch of Gary,2013,0,1,1,0,0,0,26.0
9545,21st Century Charter Sch of Gary,2014,1,14,14,0,1,0.02,50.0
9545,21st Century Charter Sch of Gary,2015,1,3,1,2,3,0.06818181818181818,44.0
9545,21st Century Charter Sch of Gary,2016,6,6,6,0,4,0.07017543859649122,57.0
9545,21st Century Charter Sch of Gary,2017,9,2,2,0,3,0.04918032786885246,61.0
9545,21st Century Charter Sch of Gary,2018,6,8,7,1,5,0.07936507936507936,63.0
9545,21st Century Charter Sch of Gary,2019,1,13,10,3,4,0.06666666666666667,60.0
9545,21st Century Charter Sch of Gary,2021,8,23,1,22,30,0.38461538461538464,78.0
9545,21st Century Charter Sch of Gary,2022,0,25,5,20,20,0.25316455696202533,79.0
9545,21st Century Charter Sch of Gary,2023,6,29,7,22,28,0.2916666666666667,96.0
9970,ACE Preparatory Academy,2012,*,*,*,*,*,*,
9970,ACE Preparatory Academy,2013,*,*,*,*,*,*,
9970,ACE Preparatory Academy,2014,*,*,*,*,*,*,
9970,ACE Preparatory Academy,2015,*,*,*,*,*,*,
9970,ACE Preparatory Academy,2016,*,*,*,*,*,*,
9970,ACE Preparatory Academy,2017,*,*,*,*,*,*,
9970,ACE Preparatory Academy,2018,*,*,*,*,*,*,
9970,ACE Preparatory Academy,2019,*,*,*,*,*,*,9.0
9970,ACE Preparatory Academy,2021,4,11,1,10,14,0.4666666666666667,30.0
9970,ACE Preparatory Academy,2022,6,2,0,2,8,0.38095238095238093,21.0
9970,ACE Preparatory Academy,2023,8,1,0,1,9,0.24324324324324326,37.0
15,Adams Central Community Schools,2012,1,0,0,0,1,0.012195121951219513,82.0
15,Adams Central Community Schools,2013,1,1,1,0,1,0.0136986301369863,73.0
15,Adams Central Community Schools,2014,2,0,0,0,2,0.02531645569620253,79.0
15,Adams Central Community Schools,2015,0,2,0,2,2,0.02040816326530612,98.0
15,Adams Central Community Schools,2016,6,0,0,0,6,0.06,100.0
15,Adams Central Community Schools,2017,6,3,0,3,9,0.09375,96.0
15,Adams Central Community Schools,2018,6,2,0,2,8,0.0784313725490196,102.0
15,Adams Central Community Schools,2019,7,2,0,2,9,0.0989010989010989,91.0
15,Adams Central Community Schools,2021,10,3,0,3,13,0.11304347826086956,115.0
15,Adams Central Community Schools,2022,3,5,0,5,8,0.08602150537634409,93.0
15,Adams Central Community Schools,2023,6,2,0,2,8,0.08602150537634409,93.0
9130,Adelante Schools,2012,*,*,*,*,*,*,
9130,Adelante Schools,2013,*,*,*,*,*,*,
9130,Adelante Schools,2014,*,*,*,*,*,*,
9130,Adelante Schools,2015,*,*,*,*,*,*,
9130,Adelante Schools,2016,*,*,*,*,*,*,
9130,Adelante Schools,2017,*,*,*,*,*,*,
