Cluster,A,A,B,B,B,B,B,B,B,C,C,C,D,D,D,D,D,D,D,D,D,D,E,F,F,F,F,F,F,F,F,G,G,G,G,G
sub_cluster,0,1,0,1,2,3,4,5,6,0,1,2,0,1,2,3,4,5,6,7,8,9,0,0,1,2,3,4,5,6,7,0,1,2,3,4
Corporation ID,66.33986928104575,99.6732026143791,47.05882352941177,42.15686274509804,41.50326797385621,56.5359477124183,43.790849673202615,51.30718954248366,65.68627450980392,37.254901960784316,85.94771241830065,34.64052287581699,39.54248366013072,51.30718954248366,49.01960784313726,58.82352941176471,63.72549019607843,50.65359477124183,7.189542483660131,22.875816993464053,51.30718954248366,35.294117647058826,93.79084967320262,46.40522875816993,58.82352941176471,37.254901960784316,34.64052287581699,42.15686274509804,50.65359477124183,43.13725490196079,51.30718954248366,46.07843137254902,36.9281045751634,56.5359477124183,43.790849673202615,98.03921568627452
Non-GCE Promote %,91.17647058823529,0.6535947712418301,50.65359477124183,77.12418300653594,51.63398692810458,11.764705882352942,78.10457516339869,75.16339869281046,33.98692810457516,32.6797385620915,91.17647058823529,62.091503267973856,43.790849673202615,61.111111111111114,62.091503267973856,72.22222222222223,81.04575163398692,68.62745098039215,7.189542483660131,79.08496732026144,56.86274509803922,69.93464052287582,98.03921568627452,30.718954248366014,18.30065359477124,16.99346405228758,26.143790849673202,32.6797385620915,47.712418300653596,60.7843137254902,55.22875816993464,99.6732026143791,83.00653594771242,90.52287581699346,73.8562091503268,75.16339869281046
ELL %,73.20261437908496,20.58823529411765,60.45751633986928,87.58169934640523,92.15686274509804,96.40522875816994,78.10457516339869,73.52941176470588,82.6797385620915,73.8562091503268,74.18300653594771,90.84967320261438,67.97385620915033,32.35294117647059,41.1764705882353,28.104575163398692,44.77124183006536,72.22222222222223,37.254901960784316,44.77124183006536,29.73856209150327,33.333333333333336,78.75816993464052,51.96078431372549,34.64052287581699,72.87581699346406,38.56209150326797,64.70588235294117,39.54248366013072,98.69281045751634,61.76470588235294,93.4640522875817,91.50326797385621,92.15686274509804,96.40522875816994,100.0
Special Education %,95.42483660130719,100.0,27.77777777777778,88.88888888888889,19.934640522875817,8.823529411764707,20.915032679738562,50.98039215686275,70.58823529411765,19.281045751633986,54.248366013071895,36.60130718954248,89.86928104575163,57.84313725490196,74.50980392156863,76.47058823529412,96.07843137254902,58.49673202614379,76.47058823529412,66.01307189542484,67.97385620915033,58.49673202614379,3.9215686274509807,67.3202614379085,37.908496732026144,50.98039215686275,41.830065359477125,37.254901960784316,43.4640522875817,13.071895424836601,94.44444444444444,57.189542483660134,35.62091503267974,21.568627450980394,17.647058823529413,0.9803921568627452
FRPM_%,82.6797385620915,99.83660130718954,59.150326797385624,72.54901960784314,59.150326797385624,62.41830065359477,75.16339869281046,21.568627450980394,51.63398692810458,10.457516339869281,61.111111111111114,57.84313725490196,76.79738562091504,61.76470588235294,66.01307189542484,67.6470588235294,16.666666666666668,64.37908496732027,51.63398692810458,23.202614379084967,44.44444444444444,85.29411764705883,97.05882352941177,28.104575163398692,25.81699346405229,15.686274509803923,11.764705882352942,21.568627450980394,34.96732026143791,19.934640522875817,78.43137254901961,95.09803921568627,82.3529411764706,94.44444444444444,90.52287581699346,98.36601307189542
Pct American Indian,52.61437908496732,10.620915032679738,24.18300653594771,36.9281045751634,21.895424836601308,61.111111111111114,51.96078431372549,51.30718954248366,65.68627450980392,65.68627450980392,52.287581699346404,61.111111111111114,50.0,50.65359477124183,82.02614379084967,74.83660130718954,39.21568627450981,73.20261437908496,92.81045751633987,97.38562091503267,85.94771241830065,10.620915032679738,26.143790849673202,62.091503267973856,26.143790849673202,78.10457516339869,37.254901960784316,47.712418300653596,44.11764705882353,10.620915032679738,10.620915032679738,22.54901960784314,49.673202614379086,63.071895424836605,33.00653594771242,10.620915032679738
Pct Asian,79.08496732026144,4.411764705882353,43.790849673202615,55.88235294117647,62.74509803921569,94.44444444444444,17.320261437908496,80.71895424836602,81.37254901960785,96.07843137254902,77.45098039215686,98.03921568627452,50.65359477124183,59.80392156862745,50.326797385620914,17.647058823529413,84.9673202614379,37.58169934640523,37.58169934640523,34.31372549019608,31.045751633986928,4.411764705882353,16.33986928104575,49.01960784313726,53.59477124183007,69.93464052287582,58.169934640522875,88.23529411764706,34.96732026143791,30.3921568627451,65.0326797385621,10.130718954248366,91.83006535947713,54.90196078431373,71.24183006535948,4.411764705882353
Pct Black,88.88888888888889,91.50326797385621,91.17647058823529,65.68627450980392,34.64052287581699,93.13725490196079,46.73202614379085,81.69934640522877,66.01307189542484,78.43137254901961,87.58169934640523,79.41176470588235,56.5359477124183,35.947712418300654,59.47712418300654,22.875816993464053,69.28104575163398,31.372549019607845,23.856209150326798,82.6797385620915,38.23529411764706,1.6339869281045751,98.69281045751634,50.326797385620914,50.98039215686275,66.01307189542484,35.62091503267974,75.49019607843137,39.869281045751634,17.973856209150327,14.052287581699346,96.40522875816994,96.73202614379085,93.4640522875817,70.91503267973856,98.69281045751634
Pct Hispanic,75.49019607843137,49.01960784313726,92.81045751633987,88.23529411764706,93.4640522875817,86.9281045751634,78.43137254901961,91.50326797385621,83.66013071895425,72.54901960784314,59.80392156862745,75.16339869281046,57.189542483660134,27.124183006535947,55.55555555555556,21.241830065359476,31.372549019607845,69.6078431372549,36.27450980392157,55.88235294117647,19.934640522875817,27.450980392156865,73.20261437908496,62.091503267973856,33.00653594771242,75.16339869281046,32.35294117647059,61.43790849673203,40.84967320261438,22.22222222222222,43.790849673202615,98.36601307189542,88.23529411764706,93.4640522875817,98.36601307189542,91.50326797385621
